Necessidade a ser atendida;Transversal;Público alvo;Unidades organizacionais;UF;Enfoque do desenvolvimento;Competência associada;Quantidade prevista de servidores;Área temática – Sistema Estruturante do Poder Executivo Federal;Modalidade;Tipo de aprendizagem;Especificação do tipo de aprendizagem;Título;Carga horária individual prevista;Término previsto;Ação gratuita;Custo individual previsto;A necessidade pode ser atendida pela Escola de Governo do meu Órgão
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Comportamental, gerencial ou liderança, Educação Formal;Delegação, Relacionamento interpessoal, Representação Institucional, Normativa/Legal;150;Correição, Controle Interno, Custos;A distância, Presencial;Evento de Capacitação;Curso;Fases da Despesa Pública - Empenho, Liquidação e Pagamento;00:00;2020;;100;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Servidores que atuam na construção e elaboração de termos de referencia;IFPR;PR;Aprimoramento Técnico, Educação Formal;Delegação, Relacionamento interpessoal, Saúde e segurança do trabalho;150;Correição, Comunicação;A distância, Presencial;Evento de Capacitação;Curso;IN 05 - Elaboração da Planilha de Custos e Formação de Preços;24;2020;;350;Sim
Trabalhar a importância dos aspectos profissionais vinculados à formulação ao planejamento à execução e ao controle das metas institucionais;Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Delegação, Gestão de conflitos, Relacionamento interpessoal;200;Correição, Gestão, organização e inovação institucional ;A distância, Presencial;Evento de Capacitação;Curso;Planejamento Estratégico para Organizações Públicas;40;2020;Sim;;Sim
Trabalhar a importância dos aspectos profissionais vinculados à formulação ao planejamento à execução e ao controle das metas institucionais;Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Delegação, Relacionamento interpessoal;250;Administração financeira, Correição;A distância, Presencial;Evento de Capacitação;Curso;Introdução à Gestão de Processos;20;2020;Sim;;Não
Trabalhar a importância dos aspectos profissionais vinculados à formulação ao planejamento à execução e ao controle das metas institucionais;Sim;servidores do IFPR;IFPR;PR;Aprimoramento Técnico;Gestão de conflitos, Relacionamento interpessoal;250;Correição, Comunicação, Controle Interno, Gestão, organização e inovação institucional ;A distância, Presencial;Evento de Capacitação;Curso;GESTÃO DE RISCOS NO SETOR PÚBLICO;20;2020;Sim;;Não
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Não;Agentes Patrimoniais;Patrimônio;PR;Aprimoramento Técnico;Relacionamento interpessoal;80;Administração financeira, Gestão, organização e inovação institucional ;A distância, Semipresencial;Evento de Capacitação;Curso;Gestão de Materiais e Patrimônio;40;2020;;150;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Gestores e Fiscais de Obra;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;60;Administração financeira, Gestão, organização e inovação institucional ;A distância, Presencial;Evento de Capacitação;Curso;Gestão e Fiscalização de Obras e Serviços de Engenharia;40;2020;;200;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Atuantes nas áreas de compras e Licitação;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;30;Administração financeira, Comunicação;A distância;Evento de Capacitação;Curso;Licitação de Obras e Serviços de Engenharia;40;2020;;100;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;TIC Compras;IFPR;PR;Aprimoramento Técnico;Delegação, Relacionamento interpessoal, Representação Institucional;100;Administração financeira, Comunicação, Ética;A distância, Presencial;Evento de Capacitação;Curso;Contratação de Soluções de Tecnologia da Informação;40;2020;;100;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Servidores que atuam com o Sistema de SCDP;IFPR;PR;Aprimoramento Técnico;Delegação, Relacionamento interpessoal, Representação Institucional, Técnica/Específica do cargo;60;Administração financeira;A distância, Presencial;Evento de Capacitação;Curso;REGRAS E FUNDAMENTOS DO SISTEMA DE CONCESSÃO DE DIÁRIAS E PASSAGENS (SCDP);30;2020;Sim;;Não
